month,mse,mae,rmse,nse,kge,observed_mean,predicted_mean,n_samples,model_label
1,3.3117637565161964,0.9727649108930068,1.8198251994398242,0.8120308532594658,0.9050021077699243,2.3464870046485555,2.3322063716975125,110,LSTM
2,3.2431980181841618,0.9161754488945008,1.8008881192856379,0.6759826125764477,0.697140276913912,2.0927345061302187,1.8609055995941162,50,LSTM
3,1.6719727295656572,0.9041183749834697,1.2930478450411869,0.48155489964764486,0.696662030812487,1.7923830032348633,1.8695407350858053,60,LSTM
4,5.658515506724561,1.330009729546659,2.3787634406818516,-0.09157581489163213,0.4239779683430954,2.1463874657364452,2.43520653423141,68,LSTM
5,7.598479575435046,1.4167381917034183,2.756533978646925,0.47994178295476275,0.7350875859201638,3.134582079208649,3.382325584287042,111,LSTM
6,30.549154945922986,2.002846016486486,5.527128996678383,0.15688211565806054,0.2843829592202196,3.5032071352005003,2.6820245921611785,60,LSTM
7,2.0291750194958333,0.7965364515781402,1.4244911440566534,0.45512499017331676,0.624978039409036,1.3664854367574055,1.448416401942571,60,LSTM
8,0.5010629116349724,0.4413772378212366,0.7078579741974885,0.7616555810361881,0.6099309298075093,0.7169629381253169,0.5559520996533908,78,LSTM
9,0.7365548656886582,0.5053424258808513,0.858227746981335,0.47437121674982763,0.6428660215928166,0.6360816654268202,0.7759489266427009,91,LSTM
10,0.29986300800729804,0.39197093645731607,0.5475974872178451,0.691653539341368,0.7608857068052051,0.5231518467267354,0.6119855364163717,60,LSTM
11,2.7248440678237875,0.7894365986188253,1.6507101707519063,0.5300007151322487,0.36209996037604475,1.2581177592277526,1.6981646498044332,60,LSTM
12,0.5588852815610439,0.4282241935160623,0.7475863037543183,0.792345892796217,0.8774339761556533,0.9966899921644979,1.0338334432288783,67,LSTM
1,15.195656172885466,1.589187809012153,3.8981606140442016,0.13752467416803094,0.2339868887500205,2.3464870046485555,3.534710396419872,110,Transformer
2,5.28702671335993,1.098660261631012,2.2993535424896994,0.47179032137527055,0.6026919369197636,2.0927345061302187,2.710031590461731,50,Transformer
3,2.816927705772724,1.0940193504095077,1.6783705507940503,0.12652740007066043,0.5136179360518385,1.7923830032348633,2.262531180183093,60,Transformer
4,9.72585233402327,1.532644453294137,3.118629880896941,-0.8761997160581274,0.14133207997266395,2.1463874657364452,2.9579624077853035,68,Transformer
5,8.069207412934935,1.57296680867135,2.8406350369125097,0.4477240376211856,0.7045865171437796,3.134582079208649,3.3144276066943332,111,Transformer
6,31.93538983945244,1.9444986542065938,5.651140578631224,0.11862379287622182,0.06674892863956883,3.5032071352005003,2.003954486052195,60,Transformer
7,1.1303453387203495,0.5960604866345723,1.06317700253549,0.6964791495926157,0.6458275614042112,1.3664854367574055,1.127203094959259,60,Transformer
8,0.9609453395223102,0.47166004929787075,0.9802781949642204,0.5428997970392945,0.40138707683402863,0.7169629381253169,0.5890768147431887,78,Transformer
9,0.7087886358650688,0.4370332858064672,0.8418958580876074,0.49418607410464566,0.6438144314984423,0.6360816654268202,0.7283602081812345,91,Transformer
10,0.270314278300462,0.3392228941122691,0.5199175687553383,0.7220382349482356,0.6622524917508537,0.5231518467267354,0.6854261855284373,60,Transformer
11,6.416353934018039,0.9961156904697418,2.5330522959500934,-0.10673553619358245,-0.11594681272036245,1.2581177592277526,2.0642845491568247,60,Transformer
12,1.4184617252236793,0.6908902223430463,1.1909919081268685,0.47296983321632036,0.3495328354458025,0.9966899921644979,1.4962458210204965,67,Transformer
